q(W/M2K),del.T,hexp,R-11,,den.l,den.v,den.diff,cp,meu,hfg,surf.tension,pgiven(Mpa),pcrtical,p_reduced,kmaterial,k_liquid,Ks/kl,dp,Pp,dp/Lp,,Re_Boiling,Bo,Re-K,,,,,,,,,,,
7164.85476,0.658140681,10886.50947,Turbo,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.010721216,0.014551335,0.003015351,,,,,,,,,,,
10264.08207,0.8003487,12824.5127,4.4,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.015358782,0.014551335,0.003666894,,,,,,,,,,,
14690.86531,0.991573222,14815.71405,R-11,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.021982852,0.014551335,0.004543012,,,,,,,,,,,
20767.20973,1.256668561,16525.60617,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.031075263,0.014551335,0.005757578,,,,,,,,,,,
30471.8196,1.625418044,18747.06616,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.045596872,0.014551335,0.007447048,,,,,,,,,,,
41023.11806,2.353523627,17430.5104,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.061385434,0.014551335,0.010782951,,,,,,,,,,,
60193.40437,3.040172238,19799.34019,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.090071121,0.014551335,0.013928914,,,,,,,,,,,
7512.38632,0.53657647,14000.58844,26.7,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.014922924,0.016332033,0.002626918,,,,,,,,,,,
10043.74632,0.680229987,14765.22134,R-11,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.019951325,0.016332033,0.003330202,,,,,,,,,,,
14964.85266,0.895256016,16715.7242,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.02972682,0.016332033,0.004382905,,,,,,,,,,,
66929.02867,2.862722489,23379.50288,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.132950669,0.016332033,0.014015032,,,,,,,,,,,
7527.57585,2.358125133,3192.18677,GEWA-SE,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.01922541,0.026997851,0.011544674,,,,,,,,,,,
10593.72011,2.481827335,4268.51617,26.7,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.027056335,0.026997851,0.012150283,,,,,,,,,,,
15092.29084,2.696123168,5597.77499,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.038545674,0.026997851,0.013199411,,,,,,,,,,,
20963.10841,2.804238493,7475.5084,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.053539727,0.026997851,0.013728712,,,,,,,,,,,
30232.61186,3.197937766,9453.78368,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.077214016,0.026997851,0.015656145,,,,,,,,,,,
42547.00776,3.554144602,11971.09643,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.108664953,0.026997851,0.017400027,,,,,,,,,,,
61306.91858,4.049586056,15139.0581,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.156577719,0.026997851,0.01982556,,,,,,,,,,,
69285.54833,4.413368825,15699.01612,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00018,0.00094,0.191489362,,0.17695512,0.026997851,0.021606532,,,,,,,,,,,
3756.57264,3.442179774,1091.3354,GEWA-SE-,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.007227247,0.024054248,0.01577076,,,,,,,,,,,
5653.39602,3.696711623,1529.30404,4.4,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.010876534,0.024054248,0.016936929,,,,,,,,,,,
7325.72282,4.172363723,1755.77282,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.014093914,0.024054248,0.019116186,,,,,,,,,,,
10591.46621,4.473486152,2367.60903,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.020376858,0.024054248,0.020495814,,,,,,,,,,,
15722.73652,5.235559616,3003.06704,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.030248878,0.024054248,0.023987346,,,,,,,,,,,
22731.79543,5.510477417,4125.19528,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.043733564,0.024054248,0.025246915,,,,,,,,,,,
31542.97438,6.390769163,4935.70861,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.060685338,0.024054248,0.029280077,,,,,,,,,,,
43726.71621,6.579213482,6646.19203,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.084125565,0.024054248,0.030143457,,,,,,,,,,,
61512.21051,7.29681623,8430.00681,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.11834297,0.024054248,0.033431241,,,,,,,,,,,
7928.46973,2.991567227,2650.27296,GEWA-TX,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.019124331,0.024081416,0.014645817,,,,,,,,,,,
10925.52885,3.231234017,3381.22488,26.7,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.026353564,0.024081416,0.015819154,,,,,,,,,,,
15835.83232,3.469260814,4564.6128,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.03819775,0.024081416,0.016984462,,,,,,,,,,,
22680.48007,3.821929773,5934.30058,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.054707785,0.024081416,0.018711023,,,,,,,,,,,
31253.98064,4.200974582,7439.69763,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.075388001,0.024081416,0.020566713,,,,,,,,,,,
43028.81924,4.888203462,8802.58352,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.103790193,0.024081416,0.02393118,,,,,,,,,,,
60839.36784,5.944527979,10234.51619,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.146751174,0.024081416,0.029102628,,,,,,,,,,,
72776.44947,6.847929109,10627.5121,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00017,0.00134,0.126865672,,0.175544713,0.024081416,0.033525409,,,,,,,,,,,
5532.12716,4.593914524,1204.22945,4.4,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.010051936,0.021455796,0.021047572,,,,,,,,,,,
8017.07422,4.796722858,1671.3649,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.014567112,0.021455796,0.021976762,,,,,,,,,,,
11333.04664,5.07412978,2233.49562,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.02059227,0.021455796,0.023247735,,,,,,,,,,,
15448.04208,5.169009497,2988.58845,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.028069262,0.021455796,0.023682438,,,,,,,,,,,
22387.06675,5.701519087,3926.50913,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.040677546,0.021455796,0.026122195,,,,,,,,,,,
31255.86171,6.400382121,4883.43682,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.056792243,0.021455796,0.02932412,,,,,,,,,,,
43676.84131,6.80746086,6416.02533,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.0793613,0.021455796,0.0311892,,,,,,,,,,,
63295.81164,8.53398723,7416.90958,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00017,0.00134,0.126865672,,0.115009184,0.021455796,0.039099488,,,,,,,,,,,
3467.09454,0.420393914,8247.25199,Turbo26.7,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.018972791,0.029663975,0.002148025,,,,,,,,,,,
5489.02706,0.538717727,10189.05965,R-12,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.030037301,0.029663975,0.002752606,,,,,,,,,,,
7604.11207,0.671007014,11332.38836,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.041611564,0.029663975,0.003428545,,,,,,,,,,,
14083.78763,0.920627036,15298.03827,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.077069936,0.029663975,0.004703992,,,,,,,,,,,
20984.38173,1.190357215,17628.64245,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.114831677,0.029663975,0.006082193,,,,,,,,,,,
28719.622,1.546735407,18567.89589,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.157160807,0.029663975,0.007903126,,,,,,,,,,,
40306.85595,1.986674773,20288.6031,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.22056899,0.029663975,0.010151019,,,,,,,,,,,
57908.70419,2.566281872,22565.21578,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.316890615,0.029663975,0.013112552,,,,,,,,,,,
68573.40475,3.320516756,20651.4256,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00014,0.00060476,0.231496792,,0.375250469,0.029663975,0.016966354,,,,,,,,,,,
9888.50524,1.030428605,9596.49722,Turbo-4.4,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00014,0.00060476,0.231496792,,0.039281586,0.023749542,0.004383957,,,,,,,,,,,
29356.81397,1.744398562,16829.1895,R-12,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00014,0.00060476,0.231496792,,0.116618457,0.023749542,0.007421541,,,,,,,,,,,
41536.04642,2.136388543,19442.17804,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00014,0.00060476,0.231496792,,0.164999841,0.023749542,0.009089262,,,,,,,,,,,
58715.92783,2.707548225,21686.01367,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00014,0.00060476,0.231496792,,0.23324605,0.023749542,0.01151926,,,,,,,,,,,
14509.44791,1.131383956,12824.5127,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00014,0.00060476,0.231496792,,0.057638047,0.023749542,0.004813471,,,,,,,,,,,
8002.42708,0.718844502,11132.34789,GEWA-SE-26.7,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.056303025,0.049036368,0.003672974,,,,,,,,,,,
10337.65086,0.818824641,12624.9875,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.07273306,0.049036368,0.004183827,,,,,,,,,,,
15656.51566,1.112098924,14078.348,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.110155229,0.049036368,0.005682328,,,,,,,,,,,
22837.51783,1.402823021,16279.68567,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.160678918,0.049036368,0.007167798,,,,,,,,,,,
31362.85711,1.729864981,18130.23413,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.220661019,0.049036368,0.008838836,,,,,,,,,,,
43070.7406,2.09204681,20587.84746,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.303034685,0.049036368,0.010689423,,,,,,,,,,,
61306.91858,2.769181277,22139.00516,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.431339756,0.049036368,0.014149277,,,,,,,,,,,
70138.41952,3.11107932,22544.72236,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00018,0.00094,0.191489362,,0.493475931,0.049036368,0.015896223,,,,,,,,,,,
5653.39602,0.903035568,6260.4356,GEWA-SE-4.4,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.028874352,0.039259446,0.003841963,,,,,,,,,,,
7632.85797,0.98058151,7784.01172,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.038984325,0.039259446,0.004171882,,,,,,,,,,,
10737.46228,1.199790427,8949.4482,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.05484089,0.039259446,0.005104506,,,,,,,,,,,
15722.73652,1.357752861,11579.96935,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.080302853,0.039259446,0.005776557,,,,,,,,,,,
21817.10092,1.574652149,13855.18759,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.111429423,0.039259446,0.006699355,,,,,,,,,,,
31542.97438,2.06361165,15285.32482,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.161103688,0.039259446,0.008779632,,,,,,,,,,,
43132.16896,2.503744216,17227.06684,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.220294745,0.039259446,0.010652176,,,,,,,,,,,
60675.83589,3.384481986,17927.6581,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00018,0.00094,0.191489362,,0.309897881,0.039259446,0.014399273,,,,,,,,,,,
3918.78797,0.943318929,4154.25563,GEWA-TX,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.026039832,0.043739229,0.004819937,,,,,,,,,,,
7928.46973,1.413729332,5608.19497,26.7,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.052683642,0.043739229,0.007223524,,,,,,,,,,,
10925.52885,1.739908829,6279.36859,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.072598707,0.043739229,0.008890155,,,,,,,,,,,
15633.44934,2.062136362,7581.19086,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.103882221,0.043739229,0.010536594,,,,,,,,,,,
21543.08557,2.356858241,9140.59454,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.143150979,0.043739229,0.012042491,,,,,,,,,,,
31253.98064,2.88596849,10829.63336,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.207678604,0.043739229,0.014746007,,,,,,,,,,,
44150.09037,3.511115525,12574.37702,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.293371562,0.043739229,0.017940229,,,,,,,,,,,
61626.96454,3.983645645,15469.99157,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.4095031,0.043739229,0.020354646,,,,,,,,,,,
71846.36162,4.153424013,17298.10426,,26.7,1305,38.545,1266.455,706.6,0.000185,138290,0.0083679,0.68,4.16,0.163461538,401,0.066,6075.757576,0.00017,0.00134,0.126865672,,0.477409653,0.043739229,0.021222138,,,,,,,,,,,
8218.8089,1.480811326,5550.20667,4.4,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.039644974,0.035018457,0.006300109,,,,,,,,,,,
10528.17764,1.733439423,6073.5769,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.05078465,0.035018457,0.007374915,,,,,,,,,,,
15836.76317,2.174622862,7282.53319,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.076391613,0.035018457,0.009251929,,,,,,,,,,,
22950.39542,2.772835578,8276.86849,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.110705559,0.035018457,0.011797024,,,,,,,,,,,
31255.86171,3.326971028,9394.69008,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.150768541,0.035018457,0.014154593,,,,,,,,,,,
45295.51763,4.089857376,11075.08489,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.218491468,0.035018457,0.017400292,,,,,,,,,,,
63295.81164,5.128047253,12343.06326,,4.4,1382,20.4,1361.6,640.77,0.000234,150610,0.011237,0.35,4.16,0.084134615,401,0.0748,5360.962567,0.00017,0.00134,0.126865672,,0.305319279,0.035018457,0.021817269,,,,,,,,,,,
3509.42754,0.545377838,6434.85542,Turbo,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00014,0.00060476,0.231496792,,0.016857295,0.02834155,0.003807974,,,,,,,,,,,
5422.81485,0.613301177,8842.00952,26.7,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00014,0.00060476,0.231496792,,0.02604812,0.02834155,0.004282233,,,,,,,,,,,
10534.2021,0.807694118,13042.31623,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00014,0.00060476,0.231496792,,0.050600319,0.02834155,0.005639537,,,,,,,,,,,
28719.622,1.342248419,21396.65177,no-4.4,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00014,0.00060476,0.231496792,,0.137952739,0.02834155,0.009371938,,,,,,,,,,,
59331.46036,2.241633097,26467.96233,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00014,0.00060476,0.231496792,,0.28499461,0.02834155,0.015651683,,,,,,,,,,,
71984.35131,2.719678622,26467.96233,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00014,0.00060476,0.231496792,,0.345771906,0.02834155,0.018989525,,,,,,,,,,,
7905.11894,0.684775256,11544.10716,GEWA-SE,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.048820754,0.046850318,0.004781284,,,,,,,,,,,
14727.48305,0.921232617,15986.71473,26.7,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.090954588,0.046850318,0.006432293,,,,,,,,,,,
21221.15401,1.108422199,19145.37081,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.131058464,0.046850318,0.007739301,,,,,,,,,,,
30604.76051,1.569778632,19496.22697,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.189010122,0.046850318,0.010960615,,,,,,,,,,,
43562.83487,1.897511657,22957.8747,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.269037124,0.046850318,0.013248935,,,,,,,,,,,
59097.55819,2.269831761,26036.09625,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.364977099,0.046850318,0.015848574,,,,,,,,,,,
71813.0028,2.659828521,26999.10999,,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00018,0.00094,0.191489362,,0.443505658,0.046850318,0.018571636,,,,,,,,,,,
11341.85043,1.019268794,11127.43812,4.4,4.4,1266,24,1242,758,0.000205,201450,0.011,0.57,4.99,0.114228457,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.049435085,0.036582545,0.003835223,,,,,,,,,,,
16607.7348,1.175010858,14134.11177,,4.4,1266,24,1242,758,0.000205,201450,0.011,0.57,4.99,0.114228457,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.072387199,0.036582545,0.004421237,,,,,,,,,,,
22731.79543,1.429048093,15906.94921,,4.4,1266,24,1242,758,0.000205,201450,0.011,0.57,4.99,0.114228457,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.099079798,0.036582545,0.005377108,,,,,,,,,,,
30691.03333,1.781558847,17227.06684,,4.4,1266,24,1242,758,0.000205,201450,0.011,0.57,4.99,0.114228457,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.13377128,0.036582545,0.006703508,,,,,,,,,,,
43726.71621,2.207713672,19806.33484,,4.4,1266,24,1242,758,0.000205,201450,0.011,0.57,4.99,0.114228457,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.190589178,0.036582545,0.008307009,,,,,,,,,,,
62360.11398,2.853911632,21850.75154,,4.4,1266,24,1242,758,0.000205,201450,0.011,0.57,4.99,0.114228457,401,0.0927,4325.782093,0.00018,0.00094,0.191489362,,0.27180552,0.036582545,0.010738471,,,,,,,,,,,
3819.26328,0.655831395,5823.54445,GEWA-TX,26.7,1184,46,1138,1264,0.000161,181030,0.00787,1.0926,4.99,0.218957916,401,0.0827,4848.85127,0.00017,0.00134,0.126865672,,0.022276763,0.041789327,0.004579191,,,,,,,,,,,
